id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
656,INDUSINDBK,Mar 2024,-16843.0,-625.0,-2242.0,-19710.0,40,Weak,3.710740366918007,Normal,YES,432404.0,NO,Stable,432404.0,514935.0,-17468.0,Financial Stress
659,INFY,Mar 2015,8353.0,999.0,-4935.0,4417.0,100,Strong,11.95977493116246,Normal,NO,0.0,NO,Stable,0.0,66289.0,9352.0,Growth Investment
660,INFY,Mar 2016,10028.0,-885.0,-6813.0,2330.0,100,Strong,8.825289190267252,Normal,NO,0.0,NO,Growth Investment,0.0,75098.0,9143.0,Stable
662,INFY,Mar 2018,13218.0,4533.0,-20505.0,-2754.0,100,Strong,34.29414434861553,Normal,NO,0.0,NO,Stable,0.0,79349.0,17751.0,Growth Investment
663,INFY,Mar 2019,14841.0,-632.0,-14512.0,-303.0,100,Strong,4.258473148709656,Normal,NO,0.0,NO,Growth Investment,0.0,84066.0,14209.0,Stable
682,IRCTC,Mar 2016,288.0,7.0,-31.0,263.0,100,Strong,2.430555555555556,Normal,NO,0.0,NO,Stable,0.0,1437.0,295.0,Growth Investment
685,IRCTC,Mar 2019,499.0,-353.0,-179.0,-33.0,100,Strong,70.74148296593187,High,NO,0.0,NO,Growth Investment,0.0,2594.0,146.0,Stable
686,IRCTC,Mar 2020,409.0,8.0,-280.0,137.0,100,Strong,1.9559902200489,Normal,NO,0.0,NO,Stable,0.0,3241.0,417.0,Growth Investment
687,IRCTC,Mar 2021,248.0,-453.0,-47.0,-252.0,100,Strong,182.6612903225806,High,NO,79.0,NO,Growth Investment,79.0,3153.0,-205.0,Stable
699,IRFC,Mar 2024,7914.0,-8.0,-8046.0,-140.0,100,Strong,0.1010866818296689,Normal,NO,412039.0,NO,Growth Investment,412039.0,485082.0,7906.0,Financial Stress
708,ITC,Mar 2021,12527.0,5740.0,-18634.0,-367.0,100,Strong,45.82102658258162,Normal,NO,271.0,NO,Stable,271.0,73761.0,18267.0,Growth Investment
709,ITC,Mar 2022,15776.0,-2238.0,-13580.0,-43.0,100,Strong,14.18610547667343,Normal,NO,249.0,NO,Growth Investment,249.0,77196.0,13538.0,Stable
711,ITC,Mar 2024,17179.0,1563.0,-18551.0,191.0,100,Strong,9.098317713487397,Normal,NO,303.0,NO,Stable,303.0,91754.0,18742.0,Growth Investment
725,JIOFIN,Mar 2024,-678.0,1441.0,-753.0,11.0,40,Weak,212.5368731563422,High,NO,0.0,NO,Stable,0.0,144863.0,763.0,Growth Investment
733,JSWENERGY,Mar 2020,2082.0,301.0,-1962.0,421.0,100,Strong,14.45725264169068,Normal,NO,9840.0,NO,Stable,9840.0,24931.0,2383.0,Growth Investment
734,JSWENERGY,Mar 2021,3700.0,-1030.0,-2515.0,155.0,100,Strong,27.83783783783784,Normal,NO,8371.0,NO,Growth Investment,8371.0,26207.0,2670.0,Stable
755,KOTAKBANK,Mar 2018,-10392.0,-5475.0,14679.0,-1188.0,40,Weak,52.68475750577367,High,YES,249840.0,NO,Financial Stress,249840.0,337720.0,-15867.0,Growth Investment
