id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
517,GRASIM,Mar 2014,28331,23416,4915.0,17.0,576,447,1457,3586,20.0,2954,44.0,9.0,595,92.0,21523,9681,16441,47736,25209,4045,7611,10872,47736,0.44788341429562806,10.995525727069351,0.5934933802580862,9681,False,Has Debt
518,GRASIM,Mar 2015,31734,26590,5144.0,16.0,530,667,1563,3443,30.0,2582,37.0,9.0,596,92.0,23048,11930,18963,54033,31828,2755,7255,12194,54033,0.5155574762316335,7.712143928035982,0.5873077563711065,11930,False,Has Debt
519,GRASIM,Mar 2016,34487,28576,5911.0,17.0,1320,718,1834,4679,26.0,3455,51.0,9.0,597,93.0,27336,12505,19642,59576,34271,1788,10601,12916,59576,0.45590433482810166,8.232590529247911,0.5788740432388881,12505,False,Has Debt
520,GRASIM,Mar 2017,36068,28682,7387.0,20.0,1076,702,1808,5952,29.0,4246,66.0,8.0,598,93.0,31294,9213,22147,62747,34786,1297,14200,12464,62747,0.29352916812693153,10.522792022792023,0.5748163258801218,9213,False,Has Debt
521,GRASIM,Mar 2018,55894,44281,11612.0,21.0,410,3663,2724,5635,35.0,3688,39.0,15.0,599,131.0,57230,67070,83467,207899,69257,2290,65995,70356,207899,1.1692613448161644,3.17007917007917,0.26885170202838876,67070,False,Has Debt
522,GRASIM,Mar 2019,77200,60560,16640.0,22.0,-1846,6060,3571,5163,47.0,2745,25.0,27.0,600,132.0,57888,84487,98620,241127,87129,2766,62747,88484,241127,1.4561702861082386,2.745874587458746,0.3201632334827705,84487,False,Has Debt
523,GRASIM,Mar 2020,68252,57880,10373.0,15.0,7076,6890,4004,6554,-1.0,6639,65.0,6.0,601,132.0,56501,84777,102772,244181,87736,3904,66337,86204,244181,1.4969540727137889,1.5055152394775035,0.27951396709817716,84777,False,Has Debt
524,GRASIM,Mar 2021,76404,57769,18635.0,24.0,1130,5723,4033,10009,30.0,6987,63.0,14.0,602,132.0,65362,79078,122777,267349,85023,5769,88017,88540,267349,1.2074083122118056,3.2561593569806044,0.28578375082756996,79078,False,Has Debt
525,GRASIM,Mar 2022,95701,75270,20431.0,21.0,1648,4776,4161,13143,15.0,11206,111.0,9.0,603,132.0,75567,74744,138706,289149,88996,6615,96766,96771,289149,0.9873842454986196,4.277847571189279,0.3309746877907238,74744,False,Has Debt
526,GRASIM,Mar 2023,117627,96038,21589.0,18.0,3733,6044,4552,14727,25.0,11078,100.0,10.0,604,132.0,78610,103039,155042,336823,94896,7778,105355,128793,336823,1.3085646795864976,3.5719722038385173,0.34922496385341856,103039,False,Has Debt
