company_id,year,capital_allocation_label,cfo_quality_score,capex_intensity_pct,distress_flag
ADANIPOWER,Mar 2018,Growth Investment,100,10.19407959223682,NO
ADANIPOWER,Mar 2019,Growth Investment,100,17.54010695187166,NO
ADANIPOWER,Mar 2020,Growth Investment,100,41.15755627009646,NO
ADANIPOWER,Mar 2021,Growth Investment,100,31.19475335044197,NO
ADANIPOWER,Mar 2022,Stable,100,7.563764291996482,NO
ADANIPOWER,Mar 2023,Stable,100,18.32522832404223,NO
ADANIPOWER,Mar 2024,Stable,100,24.56598447424136,NO
AMBUJACEM,Dec 2012,Growth Investment,100,20.86021505376344,NO
AMBUJACEM,Dec 2013,Growth Investment,100,39.14759273875296,NO
AMBUJACEM,Dec 2014,Growth Investment,100,27.22388059701493,NO
AMBUJACEM,Dec 2015,Growth Investment,100,5.330764290301863,NO
AMBUJACEM,Dec 2016,Growth Investment,100,148.220640569395,NO
AMBUJACEM,Dec 2017,Growth Investment,100,21.60421545667447,NO
AMBUJACEM,Dec 2018,Growth Investment,100,44.92072812683499,NO
AMBUJACEM,Dec 2019,Growth Investment,100,25.13188436378983,NO
AMBUJACEM,Dec 2020,Growth Investment,100,27.25579470198676,NO
AMBUJACEM,Dec 2021,Growth Investment,100,37.80372951591637,NO
AMBUJACEM,Mar 2023,Growth Investment,100,1970.204081632653,NO
AMBUJACEM,Mar 2024,Growth Investment,100,158.3599008147361,NO
APOLLOHOSP,Mar 2013,Growth Investment,100,165.4627539503386,NO
APOLLOHOSP,Mar 2014,Growth Investment,100,95.44235924932975,NO
APOLLOHOSP,Mar 2015,Growth Investment,100,161.4893617021277,NO
APOLLOHOSP,Mar 2016,Growth Investment,100,148.7437185929648,NO
APOLLOHOSP,Mar 2017,Growth Investment,100,184.9117174959871,NO
APOLLOHOSP,Mar 2018,Growth Investment,100,75.41899441340783,NO
APOLLOHOSP,Mar 2019,Growth Investment,100,78.56353591160222,NO
APOLLOHOSP,Mar 2020,Growth Investment,100,22.35112142304718,NO
APOLLOHOSP,Mar 2021,Growth Investment,100,69.56521739130434,NO
APOLLOHOSP,Mar 2022,Growth Investment,100,44.04481132075472,NO
APOLLOHOSP,Mar 2023,Growth Investment,100,62.23674655047204,NO
APOLLOHOSP,Mar 2024,Growth Investment,100,80.05208333333333,NO
ASIANPAINT,Mar 2013,Growth Investment,100,39.00589721988206,NO
ASIANPAINT,Mar 2013,Growth Investment,100,39.00589721988206,NO
ASIANPAINT,Mar 2013,Growth Investment,100,39.00589721988206,NO
ASIANPAINT,Mar 2013,Growth Investment,100,39.00589721988206,NO
ASIANPAINT,Mar 2014,Growth Investment,100,41.79743223965763,NO
ASIANPAINT,Mar 2014,Growth Investment,100,41.79743223965763,NO
ASIANPAINT,Mar 2014,Growth Investment,100,41.79743223965763,NO
ASIANPAINT,Mar 2014,Growth Investment,100,41.79743223965763,NO
ASIANPAINT,Mar 2015,Growth Investment,100,39.14141414141415,NO
ASIANPAINT,Mar 2015,Growth Investment,100,39.14141414141415,NO
ASIANPAINT,Mar 2015,Growth Investment,100,39.14141414141415,NO
ASIANPAINT,Mar 2015,Growth Investment,100,39.14141414141415,NO
ASIANPAINT,Mar 2016,Growth Investment,100,38.60900579580918,NO
ASIANPAINT,Mar 2016,Growth Investment,100,38.60900579580918,NO
ASIANPAINT,Mar 2016,Growth Investment,100,38.60900579580918,NO
ASIANPAINT,Mar 2016,Growth Investment,100,38.60900579580918,NO
ASIANPAINT,Mar 2017,Growth Investment,100,44.59724950884086,NO
